Food,Direct Cognitive Benefits,Inirect Cognitive Benefits,Recommended_Intake,Pre_Pro_Post-Biotic
Millet,"Millet is a gluten-free whole grain with a good amount of fiber and resistant starch. It supports a diverse gut microbiome and has a low glycemic response, providing steady glucose for the brain. Rich in magnesium which is linked to improved learning and memory (via NMDA receptor regulation). Populations consuming millet (in Africa/Asia) have lower incidence of type 2 diabetes and possibly stroke, benefiting brain health indirectly.",Consuming millet can improve HbA1c and insulin sensitivity in diabetics. It’s also rich in phytochemicals like ferulic acid that contribute antioxidant effects. Millet proteins may have ACE-inhibitory (blood pressure lowering) peptides upon digestion. It’s a staple that contributes to food security and is usually well-tolerated (less allergenic). Contains iron and zinc for immunity. Soaking/fermenting millet before cooking can improve mineral bioavailability by reducing phytic acid.,Use as alternative grain 1–2x/week (swap rice for millet occasionally; ensure whole form),Prebiotic (fiber)
Miso,"Miso is a fermented soybean paste rich in probiotic organisms (if unpasteurized) such as Lactobacilli and Aspergillus oryzae. Even when added to hot soup (some microbes might die), it provides postbiotic metabolites (peptides, isoflavone aglycones) that reduce inflammation. Regular miso consumption in Japanese diet is associated with lower rates of cognitive impairment, potentially due to vascular benefits of soy and fermentation peptides.",Miso soup intake is linked to reduced gastric cancer risk (despite salt content) possibly due to protective fermentation compounds. Fermented soy in miso can lower blood pressure (ACE-inhibiting peptides) and improve cholesterol profiles. It’s a good source of vitamin K₂ and antioxidants like ferulic acid. High sodium is a concern – but some evidence suggests miso’s salts may have less hypertensive effect than plain salt (possibly due to accompanying nutrients). Use lower-sodium miso or small amounts for flavor.,1 Tbsp miso in soup or dressing 2–3x/week (watch sodium; do not boil to preserve probiotics),Probiotic (fermented soy)
Mozzarella Cheese(fermented),"If traditionally cultured, fresh mozzarella has live lactic acid bacteria (though in smaller numbers compared to yogurt). It is a young cheese, so some active cultures may remain. No specific cognitive benefit known, but as part of a Mediterranean diet (e.g., in caprese salad), it can fit without adverse effect. Offers protein beneficial for neurotransmitter production.","Mozzarella (especially part-skim) is lower in fat and sodium than many cheeses. Good source of calcium and protein. Its probiotics (if present) can support gut health; one study found mozzarella’s Lactobacillus survived digestion better than other cheese strains due to the moist matrix. Being mild, it pairs well with tomatoes/olive oil which have their own health benefits. Overall, a reasonable cheese choice in moderation for cardiovascular health.","1–2 oz a few times per week (prefer fresh, lower-sodium varieties)",Probiotic (fermented dairy)
Mulberries (Dried),"Dried mulberries retain fiber and polyphenols, albeit with more concentrated sugars. They still act as a prebiotic snack, potentially increasing bifidobacteria. Some small studies suggest dried mulberry can improve cognitive function indirectly by lowering HbA1c in diabetics (better glycemic control = better cognitive outcomes).","Dried mulberries are relatively lower in sugar compared to other dried fruits and provide iron, vitamin C, and potassium. They have been observed to lower total cholesterol and inflammation in a small clinical trial. As a snack, they offer a sweet taste with nutrients and fiber, making them preferable to candy. Ensure no added sweetener in commercial products.","2 tbsp dried mulberries as a snack, 2–3x/week",Prebiotic (fiber+polyphenols)
Mulberries(Fresh),Mulberries are rich in anthocyanins (especially dark varieties) and fiber. These support gut bacteria and have been used in traditional medicine for brain tonic effects. Their resveratrol and DNJ (1-deoxynojirimycin) content may improve cognitive function by improving metabolic health (DNJ helps regulate blood sugar). There is emerging research that mulberry extracts can protect neurons in models of Parkinson’s disease via anti-inflammatory mechanisms.,"They help regulate blood sugar – mulberries can inhibit carbohydrate breakdown (due to DNJ), useful in diabetes management. High vitamin C and iron content support immune health and anemia. Regular mulberry intake can improve lipid profiles and reduce fatty liver. Also noted for anti-aging effects on skin. White mulberry supplements are popular for blood sugar control. Fresh mulberries are delicate but very nutritious.",½ cup fresh in season or 2 tbsp dried (no sugar added) weekly,Prebiotic (fiber+polyphenols)
Mung Beans,"Mung beans are notable for their prebiotic polysaccharides; in fermented form (e.g., sprouts), they encourage Lactobacilli growth. Animal studies have shown improved learning and memory with mung bean extracts, attributed to reduced oxidative stress and AChE inhibitory activity. In human diets, replacing refined grains with mung bean (as starch or noodles) lowers glycemic load, benefiting cognitive function indirectly.","Mung beans have remarkable cholesterol-lowering effects – a meta-analysis found significant reductions in LDL with daily mung bean intake (often as sprouts or soup). They are rich in folate and magnesium, supporting heart health. Also contain polyphenols (vitexin, isovitexin) that are anti-hypertensive and anti-diabetic. Mung bean soup is used in Asia for cooling (anti-inflammatory) properties. Sprouts add vitamin C. Overall excellent for metabolic syndrome improvement.",2–3 servings per week (½ cup cooked or 1 cup sprouts each),Prebiotic (fiber)
Mushrooms,"Many edible mushrooms (shiitake, oyster, maitake, etc.) contain prebiotic polysaccharides like β-glucans that nourish gut microbes and enhance production of anti-inflammatory cytokines. Mushroom consumption has been associated with reduced risk of mild cognitive impairment – a study in seniors found those eating >2 servings/week had 50% lower odds of MCI. Likely due to ergothioneine and other antioxidants that protect neurons, plus the microbiome effects.","Mushrooms boost immunity (β-glucans stimulate immune cells) and have cholesterol-lowering effects (e.g., oyster mushrooms contain lovastatin-like compounds). They provide vitamin D2 (especially UV-exposed mushrooms), selenium, and B-vitamins. Mushrooms are also being studied for anti-cancer properties (e.g., shiitake lentinan). As a low-calorie, high-fiber food, they aid weight management. Culinary mushrooms also contribute umami flavor, helping reduce added salt in recipes.",≥2 servings per week (½ cup cooked per serving or ~3 oz),Prebiotic (polysaccharides)
Mustard Greens,"Similar to kale/collards, mustard greens are high-fiber, nutrient-packed leafy greens. They support a healthy microbiome and provide glucosinolates that reduce inflammation. Their peppery flavor comes from isothiocyanates, compounds which have been shown to protect neurons in animal models of stroke. Regular consumption of leafy brassica greens correlates with slower cognitive decline.","Mustard greens are rich in vitamin K, C, and A, supporting bone health and immunity. They help detoxify the body by activating liver enzymes. Also known to have cholesterol-lowering ability by binding bile acids (especially when steamed). Contain folate and B6, which reduce homocysteine levels (beneficial for heart). Their strong flavor can help in reducing the need for added fats or salts in a dish.",≥6 servings leafy greens/week (can alternate types),Prebiotic (fiber)
Natto,"Natto is fermented soybeans (with Bacillus subtilis). It is exceptionally high in vitamin K₂ and nattokinase enzyme. Natto’s Bacillus is a spore-forming probiotic that can survive GI passage. Regular natto consumption has been associated with better bone health and possibly better cognitive function in Japan (though cognitive data is limited). The idea is that nattokinase improves blood flow (by breaking down fibrin), potentially benefiting brain circulation.","Extremely heart-healthy: natto consumption correlates with reduced cardiovascular mortality, likely due to its blood-thinning nattokinase and high K₂ which prevents arterial calcification. Probiotic Bacillus in natto can support gut health and immunity. Also provides complete plant protein. Its strong smell/slimy texture can be off-putting, but those who eat it regularly have lower blood pressure and clotting risk. Caution if on blood thinners.",~50g (1 small pack) a few times per week (traditional breakfast in Japan),Probiotic (fermented soy)
Navy Beans,"A type of small white bean extremely rich in fiber (one of the highest fiber beans). They act as prebiotics, promoting SCFA production that can reduce neuroinflammation. B-vitamin and mineral content (folate, magnesium) support cognitive function. Diets high in legumes like navy beans have been linked to significantly better cognitive test scores in older populations (likely via vascular risk reduction).",Navy beans strongly improve lipid profiles and glycemic control. They are part of the “Portfolio Diet” for cholesterol lowering (can reduce LDL ~5% or more). High in folate for reducing homocysteine and supporting heart health. Also an excellent source of plant protein and iron. Regular bean intake (including navy) is associated with lower blood pressure due to potassium and less sodium in the diet.,≥3 servings per week (1/2 cup cooked),Prebiotic (fiber)
Oat-based Bars,"If made primarily of oats (not too much added sugar), these bars provide β-glucan soluble fiber which acts as a prebiotic and has been associated with improved gut permeability and reduced inflammation. Consuming oat β-glucans can also improve cognitive function indirectly via cholesterol lowering and improved cerebrovascular health. Choose bars with nuts/fruits for added brain nutrients.","Oat β-glucan is proven to lower LDL cholesterol (3g/day can lower LDL by ~5-7%). Oats also help stabilize blood sugar and maintain a healthy weight. Oat bars can be convenient sources of iron and whole-grain energy. However, watch out for high sugar content; look for bars with minimal added sugars and natural ingredients. Some oat bars also contain prebiotic fibers like inulin or added seeds, boosting their overall health profile.","1 bar (≈30–40g) per day as snack or breakfast (ensure ≥3g fiber, <5g sugar)","Prebiotic (fiber, β-glucan)"
Oats/Groats/Steel Cut/Rolled,"Oats are one of the best whole grains for microbiome and brain health. Rich in β-glucan prebiotic fiber that increases butyrate-producing gut bacteria. Oat consumption is linked to better cognitive performance through improved cardiovascular health (lower cholesterol) and possibly direct gut-brain communication (SCFAs from oat fermentation reduce neuroinflammation). Steel-cut and groats are less processed, retaining more nutrients.","Strong evidence for cardiovascular benefits: oats consistently lower LDL and total cholesterol. They improve endothelial function and reduce arterial plaque formation. Oats also aid blood sugar control due to viscous fiber slowing carbohydrate absorption. Additionally, they are naturally gluten-free (if uncontaminated), and contain unique antioxidants (avenanthramides) that have anti-inflammatory effects, including enhancing nitric oxide production for blood flow.","1/2 cup dry (≈1 cup cooked) daily or at least 3x/week (e.g., oatmeal or overnight oats)","Prebiotic (fiber, β-glucan)"
Olive Oil (Extra Virgin),"EVOO is a cornerstone of the Mediterranean diet, strongly associated with better cognitive function and lower dementia risk. It contains polyphenols (oleuropein, hydroxytyrosol) that beneficially modulate gut microbiota and reduce gut inflammation. These polyphenols and MUFAs improve synaptic function and reduce beta-amyloid accumulation in the brain (shown in animal models). EVOO consumption leads to higher levels of brain-supportive gut metabolites and improved neurovascular health.","One of the most heart-healthy fats: EVOO consistently shows reductions in heart attack and stroke risk in human trials (PREDIMED trial: high-EVOO diet lowered CVD by ~30%). Lowers inflammatory markers (CRP, IL-6) and improves endothelial function. The high monounsaturated fat content favorably affects lipid profiles (can raise HDL). Also beneficial for blood pressure when replacing butter. Antioxidants in olive oil protect LDL from oxidation. Use cold or moderate heat to preserve polyphenols.",2–4 Tbsp per day (as main cooking oil and dressing),Prebiotic (polyphenols)
Onions,"Onions are rich in fructooligosaccharides (FOS) which are classic prebiotic fibers. Regular onion intake increases beneficial gut flora and the production of SCFAs that can reduce neuroinflammation. Onions also contain quercetin, an antioxidant flavonoid that has been shown to improve memory in animal studies by mitigating oxidative stress. Including onions in the diet is associated with lower rates of stomach cancer and possibly better cognitive resilience (though hard to isolate, as they’re usually part of a veggie-rich diet).","Onions have anti-inflammatory and anti-thrombotic effects (thanks to quercetin). They can help lower blood sugar – studies indicate improved insulin sensitivity with onion extract. Also associated with improved bone density in peri-menopausal women (likely via onion’s GPCS compound slowing bone loss). They provide chromium, which helps with glucose metabolism. Onions also have cardiovascular benefits: their sulfur compounds can prevent platelet aggregation and improve cholesterol profiles modestly. Best consumed raw or lightly cooked to preserve FOS and flavonoids.",Include ~½ onion (½ cup) most days if possible (raw or cooked),Prebiotic (fiber+fructans)
Orange,"Oranges offer fiber (especially in the pulp) and a high dose of vitamin C and hesperidin, a flavonoid. The fiber acts as a prebiotic to some extent, and hesperidin has been shown to improve cognitive function in older adults by enhancing cerebral blood flow. One study found 8-week intake of orange juice improved global cognitive function in the elderly, attributed to polyphenols. Whole oranges are preferable to juice, as the fiber reduces sugar spikes and feeds gut microbes.","Citrus flavonoids in oranges improve endothelial function and lower blood pressure. Regular orange intake is associated with lower stroke risk (vitamin C and potassium contribute to this). Oranges also boost immune function and skin health. They contain folate for heart and brain health. In studies, 100% orange juice consumption did not adversely affect weight and provided improved diet quality. However, due to sugar, whole fruit or limited juice (4–6 oz) is recommended.",1 medium orange or 6–8 oz 100% juice daily (whole fruit gives more benefits due to fiber),Prebiotic (fiber+polyphenols)
Paprika,"Paprika (made from dried peppers) contains capsaicin (if hot variety) and carotenoids like beta-carotene and lutein. While used in small quantities, these compounds can modulate gut bacteria and reduce intestinal inflammation. Lutein from paprika may accumulate in the brain (notably, high brain lutein is associated with better cognition in older adults). Paprika also provides a small amount of fiber and a lot of flavor, which can indirectly benefit health by making healthy foods more palatable.","Rich in antioxidants: especially vitamin A (as carotenoids) and vitamin E. Paprika has anti-inflammatory properties and can help improve circulation (especially the hot kind with capsaicin). It also contains iron. By using paprika and other spices, one can reduce the need for salt, thus aiding blood pressure control. The carotenoids support eye health and might reduce risk of macular degeneration. Overall, a healthful spice to include regularly.","Use liberally in cooking in place of excess salt; aim for ≥½ tsp most days (sweet or smoked for flavor, hot for capsaicin)",Prebiotic (polyphenols)
Parmesan Cheese,"Aged hard cheese, very low in lactose and rich in umami glutamates. Parmesan’s long fermentation (12+ months) produces bioactive peptides that may have hypotensive effects. Not directly tied to cognitive improvements, but in small amounts can enhance diet enjoyment without large metabolic harm (due to strong flavor, you use less). The protein content (all 9 amino acids) supports neurotransmitters. But as with all high-sat-fat cheeses, moderation is critical for vascular health which in turn affects the brain.","Parmesan is extremely high in calcium and phosphorus, supporting bone strength. Its protein is highly bioavailable. Contains casein phosphopeptides that enhance mineral absorption (good for teeth). Some studies note that despite being high in salt, hard cheese consumption didn’t raise blood pressure as much as expected, possibly due to those biopeptides. Also provides vitamin B12 and selenium. A little can go a long way in flavor, helping people stick to healthier diets by not feeling deprived.",Grate 1–2 tbsp (5–10g) as needed for flavor instead of salt (several times/week),Postbiotic (fermented dairy)
Passion Fruit,"Passion fruit is high in soluble fiber (the seedy pulp) and contains unique polyphenols and carotenoids. Its fiber supports gut bacteria and the fruit’s calming alkaloids have been traditionally used to reduce anxiety (indicating possible GABA modulation). While specific cognitive studies are lacking, the fruit’s high antioxidant content can protect the brain from oxidative stress.","The seeds are rich in Piceatannol, an antioxidant linked to improved insulin sensitivity and skin health. Passion fruit intake has shown improvements in asthma symptoms (probably due to anti-inflammatory flavonoids in the purple variety). High vitamin C boosts immunity and collagen for vessels. Some evidence suggests passion fruit peel extract reduces blood pressure and improves joint mobility in osteoarthritis. Eating the whole pulp (with seeds) yields cardiovascular benefits from fiber and potassium.",1–2 fruits (or 1/2 cup pulp) a few times per week (eat seeds and pulp together),Prebiotic (fiber+polyphenols)
Peanuts,"Though technically legumes, peanuts are consumed as nuts and have similar benefits. They contain fiber and polyphenols (particularly in the skin) that feed beneficial gut microbes. A large study showed higher peanut intake was associated with better cognitive scores in older adults, likely because of niacin and vitamin E content. Peanuts’ resveratrol (small amount) and coumaric acid also contribute to neuroprotection.","Regular peanut consumption (including peanut butter) is linked to a reduced risk of coronary heart disease due to improvements in lipid profiles and anti-inflammatory effects. Rich in arginine, peanuts promote blood flow. They also provide Coenzyme Q10 and biotin. While salted peanuts can add sodium, unsalted or lightly salted is preferable. Peanuts are calorically dense but have been associated with better weight control when eaten as snacks (due to satiety). They do not raise blood sugar (low-carb).","~1 oz (handful or 2 Tbsp peanut butter) most days (preferably unsalted, natural)",Prebiotic (fiber)
Pecans,"Pecans have one of the highest antioxidant capacities among nuts (rich in polyphenols, especially tannins). They provide fiber to support gut microbes. In a clinical trial, a pecan-rich diet improved spatial memory in older adults and reduced oxidative stress markers. Pecans’ vitamin E (gamma-tocopherol) and flavonoids likely help protect neurons from damage.","Pecans significantly lower LDL cholesterol (in one study ~10% drop with 20% of calories from pecans). They improve insulin sensitivity in overweight individuals, possibly due to bioactive compounds. Anti-inflammatory effects noted by reduced CRP and oxidized LDL after pecan consumption. However, they are high-calorie, so portion control is needed. The healthy fats (mostly monounsaturated) support heart health similarly to other nuts.",~1 oz (15–20 halves) 4–5 times per week,Prebiotic (fiber)
Peony Oil,"Peony seed oil is not common, but it contains polyunsaturated fats (linoleic acid) and some unique components (like paeonol maybe in trace). No direct studies on cognition. It might have some antioxidant compounds from peony seeds, but likely used for skin or TCM. If cold-pressed, could have minor polyphenols. Not a known pre/probiotic.","In traditional Chinese medicine, peony extracts are anti-inflammatory. The oil itself could potentially help with skin conditions (like GLA in borage oil does). Nutritionally, it would be similar to other PUFA-rich oils (like sunflower) so it could help lower LDL if used instead of butter. Without more data, consider it a neutral cooking oil with possible subtle benefits from any residual botanicals.",Use sparingly as finishing oil or supplement (insufficient data; likely similar use as other seed oils),N/A (polyunsaturated oil)
Pinto Beans,Pinto beans are a staple legume high in fiber (especially raffinose family oligosaccharides) – potent prebiotics that increase gas but also feed Bifidobacteria. They also contain polyphenols (colored varieties have more). Including pinto beans in meals improves overall diet glycemic load and has been tied to better cognitive function in diabetics (owing to improved glucose control). Folate in pintos lowers homocysteine which benefits cognition.,"Pinto beans significantly improve metabolic parameters: they can lower LDL and blood pressure. A classic study (DASH diet) included beans to successfully reduce hypertension. Pintos are rich in magnesium and potassium, aiding vascular health. They also help maintain a healthy weight through high fiber/protein content. A traditional food in Americas, they have kept generations heart-healthy when consumed as part of a plant-forward diet. The only downside is potential gas, which can be mitigated by proper soaking/cooking or consuming regularly so gut adapts.",≥3 servings per week (1/2 cup cooked per serving),Prebiotic (fiber)
Pistachios,"Pistachios are unique among nuts for their content of prebiotic fibers and phytochemicals like lutein and polyphenols. A randomized trial showed that a daily pistachio snack increased beneficial gut bacteria (e.g., Akkermansia) more than almonds, indicating strong prebiotic effect. Improvements in some cognitive domains (like processing speed) have been noted with mixed-nut diets that include pistachios, possibly due to their high levels of vitamin B6 (cofactor in neurotransmitter synthesis).","Pistachios help reduce oxidative stress and inflammation. They have been shown to raise HDL and lower triglycerides when eaten regularly. Despite being ~45% fat, their impact on weight is neutral or beneficial because they increase satiety and some fat is not absorbed. Rich in potassium, they can help lower blood pressure. Also notable for containing melatonin, which might improve sleep quality. Their green color signifies lutein and zeaxanthin, supporting eye (and possibly cognitive) health.",1–2 oz (handful ~49 kernels per oz) 3–4x/week,Prebiotic (fiber)
Plums (Fresh),Fresh plums provide soluble fiber (including pectin) and polyphenols (especially in the skin) that serve as food for gut microbes. They have a moderate glycemic load and can support steady cognitive energy. Some observational data suggests that higher intake of antioxidant-rich fruits like plums is associated with slower brain aging. The anthocyanins in red/purple plums and chlorogenic acids in yellow plums help reduce neuroinflammation.,"Plums improve digestion (mild laxative effect even fresh, due to sorbitol and fiber). Rich in vitamin C and K. They have been shown to modestly reduce blood sugar and triglycerides when eaten before a meal (delaying gastric emptying via fiber). Regular consumption of plums or prunes is linked to improved bone density in postmenopausal women (possibly by reducing inflammation and providing boron). Fresh plums are hydrating and low-calorie, making them a healthy sweet snack that contributes to heart health.",2–3 plums (or ~1 cup cut) per week in season (or equivalent prunes spread out),Prebiotic (fiber)
Polenta (cooked),"Polenta is a porridge from cornmeal. If made from whole-grain cornmeal, it retains fiber that feeds gut bacteria. Traditional polenta often firms up and when cooled, forms resistant starch which acts as a prebiotic as well. This can benefit gut health and by extension, metabolic and cognitive health (via SCFA production). While polenta itself isn’t uniquely brain-boosting, using whole grain and minimal cheese makes it a neutral or positive part of a brain-healthy diet.","Polenta (whole-grain) provides steady carbs and is generally low in fat. Cooled and reheated polenta has more resistant starch, which can lower the insulin response. It’s gluten-free and gentle on the stomach. Corn’s lutein may help with eye health. Typically served with antioxidant-rich tomato sauce or vegetables in Italy, which adds to its healthfulness. It’s a better choice than refined pasta for those needing gluten-free options. Instant polenta may be more processed, so stone-ground is preferable.",1/2 cup cooked (as a side or base) a few times per week (ensure whole-grain corn),Prebiotic (if whole-grain)
Pomegranate Seed Oil,"Pomegranate seed oil contains punicic acid (an omega-5 conjugated fatty acid) which has anti-inflammatory properties. Not a traditional prebiotic or probiotic, but some of its components could influence gut flora (punicic acid can be metabolized by gut microbes into CLA). Limited data on cognition – however, pomegranate extracts (juice or supplements) have shown improved memory in middle-aged and older adults by reducing oxidative stress. The oil itself would mainly contribute via anti-inflammatory effects.","Pomegranate seed oil has been found to improve skin health and reduce inflammation in studies of eczema. It may help lower triglycerides and improve insulin sensitivity (evidence mostly in animal models and small human studies). Contains phytosterols supporting heart health. As an oil, it’s calorie-dense, so best used as a supplement or part of dressings rather than frying. The whole pomegranate fruit or juice has clearer heart benefits (improving blood flow, reducing atherosclerotic plaque). The oil is a concentrated way to get unique fatty acids from pomegranate.",1–2 tsp daily (often in capsules ~500mg punicic acid) or mixed into dressings (uncooked),N/A (bioactive oil)
Pork,"Lean pork (like tenderloin) provides high-quality protein and nutrients like thiamin, which is crucial for glucose metabolism in the brain. On the downside, red meat (including pork) can lead to production of TMAO via gut microbes, a compound linked to cognitive decline in high amounts. Thus, while occasional lean pork can fit in a balanced diet, high consumption is not advised for optimal brain health. Choose lean, unprocessed pork to minimize saturated fat and nitrates.","Pork is rich in iron and zinc (for cognitive development) and B-vitamins (especially B1, B3, B6). Lean pork in moderation can improve muscle mass maintenance. However, diets high in red/processed meats are linked to higher cardiovascular risk; substituting other proteins (fish, poultry, legumes) is associated with heart and longevity benefits. If consuming, opt for grilled or roasted lean cuts and avoid processed forms (bacon, sausage) that carry added salt and preservatives which are harmful.","≤1 serving per week of lean pork (3–4 oz), or occasionally in place of other red meats",N/A (protein source)
Provolone Cheese,"Provolone is an aged pulled-curd cheese (like a firmer mozzarella) made with bacterial cultures. It undergoes fermentation, so it contains some peptides and minimal live bacteria by the time of consumption. Not known for cognitive benefits – consider it similar to other semi-hard cheeses: enjoy for flavor in moderation. Its contribution of protein and calcium is positive, but saturated fat and salt mean high intakes could negatively impact vascular health.","Provolone adds flavor and calcium. It provides vitamin A and B12. Because it’s flavorful, a small amount can suffice in a dish (thus limiting calorie and fat intake). Like other cheeses, some evidence suggests that fermented dairy might have a neutral or slightly positive effect on cardiovascular risk compared to non-fermented dairy, possibly due to the actions of fermentation-derived compounds. Regardless, it should be treated as a treat or condiment in a health-conscious diet.",≤1–2 oz per week (a slice now and then for flavor),Postbiotic (fermented dairy)
Prunes,"Prunes are famous for their laxative effect due to high sorbitol and fiber, which indeed feeds gut bacteria and improves bowel regularity. By promoting a healthy gut environment, prunes can indirectly support cognitive health (constipation and poor gut health have been associated with poorer mood/cognition). Prune antioxidants (phenolics) also have been shown to reduce brain inflammation in aging rats and improve memory.","Proven bone health benefits: prunes can actually reverse bone loss in postmenopausal women (rich in vitamin K, boron, and polyphenols that suppress bone breakdown). They significantly increase antioxidant capacity in blood and reduce inflammation. Prunes also lower LDL oxidation, a factor in atherosclerosis. For heart health, they help with satiety (aiding weight control) and provide potassium for blood pressure regulation. Given their natural sweetness, they are a healthier alternative to sugary snacks, though portion control is important for calorie reasons.",2–3 prunes per day (around 1/4 cup) or as needed for regularity (can be daily),Prebiotic (fiber+sorbitol)
Pumpkin (Winter Squash),"Pumpkin and winter squashes are high in soluble fiber and carotenoids. The fiber supports gut bacteria and yields SCFAs. Carotenoids (beta-carotene) from pumpkin are associated with cognitive benefits – for instance, higher beta-carotene levels relate to better memory scores in aging. Pumpkin’s low glycemic load and nutrient density make it a brain-friendly carb source.",Very high in vitamin A (beta-carotene) supporting vision and immune function. Also provides potassium and vitamin C. Pumpkin has been shown to lower blood glucose in diabetic animal models and is considered a smart carb choice for humans (especially without added sugar). Its antioxidants help reduce oxidative stress. Canned pumpkin (100% pumpkin) retains these benefits and is easy to use year-round – great for heart-healthy baking or soups. The bright orange color indicates a high antioxidant capacity.,"1/2 cup cooked most days in season (e.g., as side or soup); aim for ≥2x/week when available",Prebiotic (fiber)
Pumpkin Seeds(Pepitas),"Pumpkin seeds are fiber-rich and contain tryptophan, an amino acid that the gut can convert to serotonin – known to influence mood and possibly cognitive function. Their fiber feeds gut bacteria, and the magnesium within is crucial for learning and memory. Some studies on magnesium supplementation (pumpkin seeds being an excellent natural source) show improved brain plasticity.","One of the best dietary sources of magnesium and zinc – critical for heart rhythm, immune health, and testosterone levels. Regular consumption can help lower blood pressure (magnesium, potassium) and improve glycemic control. The omega-6 and omega-9 fatty acids in pepitas, along with phytosterols, contribute to lower LDL cholesterol. Also contain anti-parasitic compounds and have traditionally been used to support prostate health. Lightly roasting enhances flavor while retaining most nutrients.","1–2 tablespoons (0.5–1 oz) daily or at least 4x/week (e.g., as salad topper or snack)",Prebiotic (fiber)
Purple Corn,"Purple corn is exceptionally high in anthocyanins (even more than blueberries by weight) and has fiber, making it a potent prebiotic food. Animal studies using purple corn extract showed improved cognitive function and reduced neuroinflammation due to these anthocyanins. Consuming products made with purple corn (like pito in Andes or purple corn tortillas) would give similar gut-brain benefits as other anthocyanin foods – improved vascular health and antioxidant support in the brain.","Purple corn anthocyanins have demonstrated strong anti-obesity and anti-diabetic effects in rodent studies (reducing body fat and improving insulin sensitivity). Human relevant data: a purple corn drink lowered inflammation markers in a small trial. It’s also being researched for anti-cancer properties (e.g., colon cancer cells). Nutritionally, it’s a whole grain, so it contributes to heart health and digestive health like other whole grains, with the added benefit of deep pigment antioxidants.","Incorporate into diet when available (e.g., purple corn flour or chips made with it) in place of refined corn; aim for 1–2 servings/week for variety",Prebiotic (fiber+anthocyanins)
Quinoa,"Quinoa is a pseudo-grain (seed) high in protein, fiber, and polyphenols. It serves as a prebiotic in the gut – one study showed quinoa increased beneficial gut bacteria and SCFA production when used to replace other grains. Its low glycemic and high nutrient profile support cognitive health by providing steady energy and micronutrients (iron, zinc) essential for brain function. Research in aged mice indicated quinoa intake improved memory and anxiety levels, likely via antioxidant and anti-inflammatory pathways.","Quinoa is gluten-free and has a complete amino acid profile, making it great for heart health (helps maintain muscle and metabolism). It’s been found to lower triglycerides and LDL in human trials when it replaces refined carbs, partly due to its fiber and saponins. Also rich in magnesium (helps blood pressure) and quercetin and kaempferol (flavonoids that combat inflammation). Quinoa’s higher satiety can aid weight management. It cooks quickly and can be used in place of rice for more nutritional punch.",≥3 servings per week (½ cup cooked per serving) instead of refined grains,Prebiotic (fiber)
Quinoa Pasta,"Pasta made from quinoa flour inherits quinoa’s nutritional benefits – including more fiber and protein than typical pasta. It retains prebiotic fibers and amino acids that benefit gut health. People who eat quinoa pasta in place of refined wheat get a lower glycemic load meal, which means more stable cognitive performance post-meal (no heavy spike-crash). Combined with other Mediterranean ingredients, it can be part of a brain-healthy meal.","Quinoa pasta is often blended with other grains, but if high in quinoa content, it offers better nutrient density. It helps with blood sugar control compared to regular pasta and contributes essential minerals (iron, magnesium). Also usually gluten-free. Its higher protein content supports muscle maintenance. One could see slight improvements in cholesterol with quinoa products as shown in studies where quinoa reduced LDL. Just be mindful of portion, as calorie-wise it’s similar to other pastas.",Use in rotation with other whole-grain pastas; 1–2 servings per week as desired,Prebiotic (fiber)
Raisins,"Raisins (dried grapes) contain fiber and fructans that have mild prebiotic effects, and they are rich in boron – a trace mineral that has been linked to improved cognitive performance (boron deprivation worsens brain function in studies). Raisins also contain polyphenols from grape skins. Some research suggests that swapping refined snacks for raisins can improve memory in children due to stabilized blood sugar and micronutrients.","Raisins are dense in natural sugars but also supply potassium, iron, and antioxidants. They have a moderate glycemic index and, interestingly, have been shown to lower blood pressure in people with mild hypertension when eaten as an alternative snack (likely due to potassium and fiber). Raisins contribute to dental cavities if oral hygiene is poor, but otherwise they’re a convenient way to get nutrients. They can help relieve constipation (the fiber + tartaric acid). Overall, a small amount of raisins can fit into a heart-healthy diet, providing quick energy and nutrients.",A small handful (2 Tbsp ~ 30g) as a snack or in recipes; most days if desired instead of candy,Prebiotic (fiber)
Raspberries,"Raspberries are extremely high in fiber (one of the highest fiber fruits) which feeds gut microbes and yields butyrate beneficial for brain health. They also contain ellagitannins which gut bacteria convert to urolithin – a compound shown to improve mitochondrial function in brain cells. Population studies note that higher berry intake (including raspberries) is linked with a slower rate of cognitive decline, thanks to these fibers and flavonoids.","Raspberries improve metabolic profiles – their high fiber and polyphenol content help blunt blood sugar spikes (even adding raspberries to a high-carb meal lowers postprandial glucose). They are rich in vitamin C and manganese, supporting collagen formation and metabolism. Animal studies show raspberry ketones may reduce fatty liver, though in humans the effect is unclear. Overall, they have strong anti-inflammatory and antioxidant effects, contributing to cardiovascular health (lower oxidative stress, possibly improved blood pressure).","≥2 servings of berries per week (1/2 cup = 1 serving, more is fine given their benefits)",Prebiotic (fiber+ellagitannins)
